name,meaning
বৃশ্চিক ২০,"Scorpios are known for their intense and magnetic personalities. Some of their traits include -   They are determined to achieve their goals, often with a strong work ethic.  They are good at finding solutions and overcoming challenges.   They tend to bounce back from setbacks and are mentally strong.  Scorpios are often seen as complex individuals who are both powerful and sensitive.  Since we have always raised our voices against all odds and took stand on the right side determined to find solutions, no matter what the situation was, how badly we were bashed, we resemble scorpio traits quite a lot.  And Scorpio in Bangla is ""বৃশ্চিক"" which even starts with ""ব"". Hence I'm suggesting the name ""বৃশ্চিক ২০"""
বেতাল'২০,জানি না কেন তবে এটা ২০ ব্যাচের সাথে যায়। বলা যায় ব্যাচের উরাধুরা কাজকর্মের জন্য
বেতালবিংশ,Aesthetic 
বৈপ্লবিক ২০,
বৈভব ২০,"Grandeur, splendor, and excellence"
বৈরীক ২০,Courageous in the face of adversity 
ব্যঞ্জন ২০,"ব্যঞ্জন মানে সব কিছুর মিক্সচার টাইপ,,, আমাদের জীবনটাও যেমন সব কিছুর মিক্সার ব্যাচ হিসেবেও আমরা অনেক কিছুই এক সাথে পার করছি,,, অনলাইন ক্লাস,, বুয়েটে ছাত্র রাজনীতি বিরোধী আন্দোলন থেকে সরকার বিরোধী আন্দোলন এমন অনেক কিছু ।  "
ব্যতিক্রম ২০,"বিশ,ব্যাচ,ব্যতিক্রম - প্রতিটি শব্দই ব দিয়ে(ব্যাচটাকে বাদ দেওয়া যায়)।প্রিলি+রিটেন সিস্টেমের প্রথম ব্যাচ(এটাই সম্ভবত এখন থেকে চলমান থাকবে)। এই নামে কোনো ব্যাচের নাম ছিল না সম্ভবত। । অনলাইন ক্লাস কিন্তু অফলাইন টার্ম ফাইনাল। বিশ ব্যাচ অন্যদের থেকে আলাদা, বিশেষ করে ২৪ সালের এপ্রিলের শেষ থেকে যাবতীয় কর্মকাণ্ডই তার বড় প্রমাণ।"
ব্যবর্তক ২০,আভিধানিক অর্থ পৃথক করে এমন।  ছাত্ররাজনীতির বিরুদ্ধে অবস্থান থেকে শুরু করর সকল ডিসিশান এ ২০ এর নৈতিক অবস্থান সবসময় ২০ কে পৃথক করেছে:) 
ব্যায়ত ২০,""" ব্যায়ত "" শব্দের দুইটি অর্থ আছে। প্রথম অর্থটি হলো দীর্ঘ। দ্বিতীয়টি হলো দৃঢ় । মূলত আমি দ্বিতীয় অর্থটি এর জন্য এই নামটি সাজেস্ট করছি । আমরা একটা দীর্ঘ সময় করোনা এর মধ্যে থেকেও আমাদের মনোবল দৃঢ় রেখেছি । অনেকেই অসুস্থ হয়েছি, অনেকেই পরিবারের সদস্য হারিয়েছি করোনা এর সময়, তবুও আমরা হাল ছেড়ে দেই নি । দৃঢ়তার সাথে সব বাধা মোকাবিলা করে এতদূর এসেছি । বুয়েটে এসেও আমাদের কম বাধা বিপত্তির সম্মুখীন হতে হয়নি । খুনি বিটুর বিরুদ্ধে আন্দোলন , ছাত্রলীগের ব্যানারে বুয়েটে আগষ্টের সমাবেশ, ছাত্র রাজনীতি এর বিরুদ্ধে আবারো সংগ্রাম , আর শেষ মেশ স্বৈরাচার পতনের আন্দোলন, সবকিছুতেই  দৃঢ়তার পরিচয় দিয়েছি । তাই সেই দৃঢ়তার প্রতীক হিসেবে এই নামটি সাজেস্ট করলাম ।"
রণঝণ ২০,একি বাজা বাজা রণঝণ
শ্রেয়সী,In the pursuit of excellence
সান্ধ্যকান্ত-২০ /Twilight-20,"This name evokes imagery of a serene and beautiful time of day, characterized by soft, fading light and a sense of calm. It signifies a moment of transition that is not only visually stunning but also emotionally significant, inviting contemplation and peace. Our Buet batch-20 were almost the only rag free-20 batch in Bangladesh. And we were really secured when entered this campus. This sense of beauty had whole lot of significant emotional value to us."
সায়ন্তন'২০,"সায়ন্তন—এই শব্দের মধ্যে শুধু সন্ধ্যার রঙ মেশানো নেই, বরং এক চিরস্থায়ী অনুভূতির প্রবাহ।দিনের সব আলো নিভে গিয়ে অন্ধকার আসে। তবে সন্ধ্যাতে তার পুরোপুরি কালিমা মাখতে পারে না।কিছু আলো অবশিষ্ঠ থেকে যায়। আমরা ২০ ব্যাচ পৃথিবীর সায়ন্তনে ওই একটু আশার উপর ভর করে অনেকটা পথ হেঁটে চলেছি। আমার মনে এই নাম সিলেক্ট হলে একটা মিউজিক্যাল সন্ধ্যা  অ্যারেঞ্জ করলে জমবে।"
স্বরবিত,Always vocal and united against all the odds.
স্রোতস্বিনী ২০,ব্যাচটি অনেকটা নদীর মতো। যার গতি উপমেয় নয় কিন্তু সুন্দর ও মসৃণ।
হিশাম,প্রবল বা দৃঢ়
